Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Barbie,2023,Greta Gerwig,"['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Ariana Greenblatt', 'Issa Rae', 'Kate McKinnon', 'Alexandra Shipp', 'Emma Mackey', 'Hari Nef', 'Sharon Rooney', 'Ana Cruz Kayne', 'Ritu Arya', 'Dua Lipa', 'Nicola Coughlan', 'Emerald Fennell', 'Simu Liu', 'Kingsley Ben-Adir', 'Ncuti Gatwa', 'Scott Evans', 'John Cena', 'Michael Cera', 'Rhea Perlman', 'Helen Mirren', 'Will Ferrell', 'Connor Swindells', 'Jamie Demetriou', 'Andrew Leung', 'Will Merrick', 'Zheng Xi Yong', 'Asim Chaudhry', 'Ray Fearon', 'Erica Ford', 'Hannah Khalique-Brown', 'Mette', 'Marisa Abela', 'Lucy Boynton', 'Rob Brydon', 'Tom Stourton', 'Chris Taylor', 'David Mumeni', 'Olivia Brody', 'Isla Ashworth', 'Eire Farrell', 'Daisy Duczmal', 'Genvieve Toussaint', 'Isabella Nightingale-Mercado', 'Millie-Rose Crossley', 'Anvita Nehru', 'Kayla-Mai Alvares', 'Luke Mullen', 'Patrick Luwis', 'Mac Brandt', 'Paul Jurewicz', 'Oraldo Austin', 'Benjamin Arthur', 'Carlos Jacott', 'Adam Ray', 'George Basil', 'Ptolemy Slocum', 'Deb Hiett', 'James Leon', 'Oliver Vaquer', 'Tony Noto', 'Christopher T. Wood', 'Ann Roth', 'Annie Mumolo', 'Elise Gallup', 'McKenna Roberts', 'Brylee Hsu', 'Sasha Milstein', 'Lauren Holt', 'Sterling Jones', 'Ryan Piers Williams', 'Jamaal Lewis', 'Kathryn Akin', 'Grace Jabbari', 'Ira Mandela Siobhan', 'Lisa Spencer', 'Naomi Weijand', 'Tom Clark', 'Ireanne Abenoja', 'Davide Albonetti', 'Charlotte Anderson', 'Michael Anderson', 'Rico Bakker', 'James Bamford', 'William John Banks', 'Callum Bell', 'Adam Blaug', 'Mason Boyce', 'Taylor Bradshaw', 'Alex Brown', 'Miekaile Browne', 'Lewis Calcutt', 'Nikkita Chadha', 'Oliver Chapman', 'Megan Charles', 'Callum Clack', 'Danny Coburn', 'Kat Collings', 'Adam Crossley', 'Sia Dauda', 'Gustave Die', 'Grace Durkin', 'Joelle Dyson', 'Lewis Easter', 'Onyemachi Ejimofor', 'Cameron Everitt', 'Luke Field-Wright', 'Sasha Flesch', 'Adam Fogarty', 'Michael John French', 'Anna-Kay Gayle', 'Charlie Goddard', 'Marlie Goddard', 'Ellis Harman', 'Yasmin Harrison', 'Josh Hawkins', 'James Healy', 'Tim Hodges', 'Mira Jebari', 'Beccy Jones', 'Thomas Kalek', 'Lily Laight', 'Maiya Leeke', 'Cristian Liberti', 'Prodromos Marneros', 'Nahum McLean', 'Jordan Melchor', 'Ramzan Miah', 'Andy Monaghan', 'Florivaldo Mossi', 'Hannah Nazareth', 'Grant Neal', 'Freja Nicole', 'Shaun Niles', 'Ella Nonini', 'Jack William Parry', 'Josie Pocock', 'Barnaby Quarendon', 'Redmand Rance', 'Zara Richards', 'Liam Riddick', 'Alana Rixon', 'Adam Paul Robertson', 'Kingdom Sibanda', 'Sebastian Skov Andersen', 'Aaron J. Smith', 'Joshua Smith', 'Lucia-Rose Sokolowski', 'Janine Somcio', 'Alex Sturman', 'Callum Sterling', 'Todd Talbot', 'Charles Tatman', 'Grant Thresh', 'Connor Tidman', 'Wahchi Vong', 'Jerry Wan', 'Sasha Wareham', 'Stan West', 'Oliver Wheeler', 'Josh Wild', 'Joe Wolstenholme', 'Richard Womersley', 'Ashley Young']",3.8,nan,"['Comedy', 'Adventure']",114,"['UK', 'USA']",English,['English'],"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.","['LuckyChap Entertainment', 'Heyday Films', 'NB/GG Pictures', 'Mattel', 'Warner Bros. Pictures']",4689584,499674,1964982,25000,17254,39536,25513,133958,131371,546744,501918,1041961,388251,892575,3719081,https://letterboxd.com/film/barbie/,https://letterboxd.com/films/ajax/popular/this/year/
Dead Poets Society,1989,Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles', 'Gale Hansen', 'Dylan Kussman', 'Allelon Ruggiero', 'James Waterston', 'Norman Lloyd', 'Kurtwood Smith', 'Carla Belver', 'Leon Pownall', 'George Martin', 'Joe Aufiery', 'Matt Carey', 'Kevin Cooney', 'Jane Moore', 'Lara Flynn Boyle', 'Colin Irving', 'Alexandra Powers', 'Melora Walters', 'Welker White', 'Steve Mathios', 'Alan Pottinger', 'Pamela Burrell', 'Allison Hedges', ""Christine D'Ercole"", 'John Cunningham', 'Debra Mooney', 'John Martin Bradley', 'Charles Lord', 'Kurt Leitner', 'Richard Stites', 'James J. Christy', 'Catherine Soles', 'Hoover Sutton', 'James Donnell Quinn', 'Simon Mein', 'Ashton W. Richards', 'Robert Gleason', 'Bill Rowe', 'Robert J. Zigler III', 'Keith Snyder', 'Nicholas K. Gilhool', 'Jonas Stiklorius', 'Craig Johnson', 'Chris Hull', 'Jason Woody', 'Sam Stegeman', 'Andrew Hill', 'Kate Kearney-Patch']",4.29,nan,['Drama'],128,['USA'],English,"['English', 'Latin']","At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.","['A Steven Haft Production', 'Witt/Thomas Productions']",2438690,360831,1062803,159000,1480,4244,3032,16784,17700,102018,128968,418318,237818,695313,1625675,https://letterboxd.com/film/dead-poets-society/,https://letterboxd.com/films/ajax/popular/this/year/
When Harry Met Sally...,1989,Rob Reiner,"['Billy Crystal', 'Meg Ryan', 'Carrie Fisher', 'Bruno Kirby', 'Steven Ford', 'Lisa Jane Persky', 'Michelle Nicastro', 'Gretchen Palmer', 'Robert Alan Beuth', 'David Burdick', 'Joe Viviani', 'Harley Jane Kozak', 'Joseph Hunt', 'Kevin Rooney', 'Franc Luz', 'Tracy Reiner', 'Kyle T. Heffner', 'Kimberley LaMarque', 'Stacey Katzin', 'Estelle Reiner', 'John Arceri', 'Peter Day', 'Kuno Sponholz', 'Connie Sawyer', 'Charles Dugan', 'Katherine Squire', 'Al Christy', 'Frances Chaney', 'Bernie Hern', 'Rose Wright', 'Aldo Rossi', 'Dona Hardy', 'Peter Pan', 'Jane Chung', 'Bob Ader', 'Nicholas Glaeser', 'Randy James', 'Stanley Moore', 'Larry Sherman', 'Marilyn Spanier', 'John Speredakos', 'Terry Vaughan', 'Anthony Welch']",4.06,nan,"['Drama', 'Romance', 'Comedy']",96,['USA'],English,['English'],"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.","['Castle Rock Entertainment', 'Nelson Entertainment']",1021154,222326,351115,34000,1048,2760,2043,11881,13930,69508,88112,204482,94777,181502,670043,https://letterboxd.com/film/when-harry-met-sally/,https://letterboxd.com/films/ajax/popular/this/year/
Parasite,2019,Bong Joon-ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-shik', 'Park So-dam', 'Lee Jung-eun', 'Jang Hye-jin', 'Park Myung-hoon', 'Jung Ji-so', 'Jung Hyeon-jun', 'Park Keun-rok', 'Jung Yi-seo', 'Cho Jae-myung', 'Jeong Ik-han', 'Kim Kyu-baek', 'Ahn Seong-bong', 'Yoon Young-woo', 'Park Jae-wook', 'Lee Dong-yong', 'Jeon Eun-mi', 'Kim Geon', 'Lee Joo-hyung', 'Lee Ji-hye', 'Kim Bo-ryeong', 'Park Hye-sook', 'Baek Seung-hwan', 'Riccardo Ferraresso', 'Ko Kwan-jae', 'Lee Si-hoon', 'Seo Bok-hyeon', 'Shim Soo-mi', 'Yoon Hye-ree', 'Andreas Fronk', 'Anna Elisabeth Rihlmann', 'Rosie Peralta', 'Shin Seung-min', 'Park Seo-jun', 'Kwak Sin-ae', 'Choi Jeong-hyun', 'Kim Ha-eon', 'Lee Eun-hee', 'Choi Ji-won', 'Park Jae-wan', 'Hwang In-gyeong', 'Kim Yeong-jo', 'Kim Jung-woo', 'Lee Sang-kyung', 'Lee Si-hoo', 'Ahn Jin-sang']",4.55,nan,"['Comedy', 'Thriller', 'Drama']",133,['South Korea'],Korean,"['Korean', 'English', 'German']","All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",['Barunson E&A'],4547456,599180,2517651,106000,3006,7003,2974,20005,16475,117883,135834,713713,573558,1825360,3415811,https://letterboxd.com/film/parasite-2019/,https://letterboxd.com/films/ajax/popular/this/year/
Little Women,2019,Greta Gerwig,"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen', 'Laura Dern', 'Timothée Chalamet', 'Tracy Letts', 'Bob Odenkirk', 'James Norton', 'Louis Garrel', 'Jayne Houdyshell', 'Chris Cooper', 'Meryl Streep', 'Rafael Silva', 'Mason Alban', 'Emily Edström', 'Maryann Plunkett', 'Hadley Robinson', 'Lonnie Farmer', 'Charlotte Kinder', 'Ana Cruz Kayne', 'Edgar Damatian', 'Erin Rose', 'Lizzie Short', 'Dash Barber', 'Edward Fletcher', 'Sasha Frolova', 'David J. Curtis', 'Harper Pilat', 'Eowyn Young', 'Lucy Austin', 'Bill Mootos', 'Lewis D. Wheeler', 'Jen Nikolaisen', 'Jonathon Acorn', 'Abby Quinn', 'Lilly Englert', 'J.M. Davis', 'Tom Kemp', 'Daniel Shea', 'Anthony Estrella', 'Adrianne Krstansky', 'Sophia Gialloreto', 'Lily Gavin', 'Finola Weller Baldet', 'Flannery Gregg', 'Tony Tucker', 'Joanne Caidor', 'Rosario Guillen', 'Margaret Clinton Weeks', 'Alexander Jimenez', 'Natalie Kurzava', 'J. Michael Winward', 'Adrian Hoffman', 'Stephen Ursprung', 'Tyler Catanella', 'Jenna Pollack', 'Meghan Hornblower', 'Elizabeth Dunn', 'Danielle Pastuszak', 'Shawn Ahern', 'Ellen Oliver', 'Haley Grove', 'Sydney Grant', 'Sayer Mansfield', 'Jen Passios', 'Juliana Utz', 'Justin Genna', 'Mathew Steele', 'Preston Martin', 'Taylor Jorgensen', 'Nicholas Deyo', 'Lily Peterson', 'Jared Reinfeldt', 'Amber Rothberg', 'Liam Buckley']",4.16,nan,"['Romance', 'History', 'Drama']",135,['USA'],English,"['English', 'French']",Four sisters come of age in America in the aftermath of the Civil War.,"['Columbia Pictures', 'Regency Enterprises', 'Pascal Pictures']",2539208,433126,1150665,140000,2290,6847,4214,28598,26752,160659,164497,497822,243901,688585,1824165,https://letterboxd.com/film/little-women-2019/,https://letterboxd.com/films/ajax/popular/this/year/
Fight Club,1999,David Fincher,"['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter', 'Meat Loaf', 'Jared Leto', 'Zach Grenier', 'Holt McCallany', 'Eion Bailey', 'Richmond Arquette', 'David Andrews', 'George Maguire', 'Eugenie Bondurant', 'Christina Cabot', ""Sydney 'Big Dawg' Colston"", 'Rachel Singer', 'Christie Cronenweth', 'Tim DeZarn', 'Ezra Buzzington', 'Dierdre Downing-Jackson', 'Bob Stephenson', 'Charlie Dell', 'Rob Lanza', 'David Lee Smith', 'Joel Bissonnette', 'Evan Mirand', 'Robby Robinson', 'Lou Beatty Jr.', 'Thom Gossom Jr.', 'Valerie Bickford', 'Peter Iacangelo', 'Carl Ciarfalio', 'Stuart Blumberg', 'Todd Peirce', 'Mark Fite', 'Matt Winston', 'Joon Kim', 'Bennie Moore', 'Lauren Sánchez', 'Pat McNamara', 'Tyrone R. Livingston', 'Owen Masterson', 'David Jean Thomas', 'Paul Carafotes', 'Christopher John Fields', 'Anderson Bourell', 'Scotch Ellis Loring', 'Michael Shamus Wiles', 'Andi Carnick', 'Ed Kowalczyk', 'Leonard Termo', 'Van Quattro', 'Markus Redmond', 'Michael Girardin', 'Michael Arturo', 'Greg Bronson', 'Matt Cinquanta', 'Paul Dillon', 'Eddie Hargitay', 'Phil Hawn', 'Bruce Holman', 'Jawara', 'Baron Jay', 'Jim Jenkins', 'Kevin Scott Mack', 'Trey Ore', 'Louis Ortiz', 'Hugh Peddy', 'J.T. Pontino', 'Chad Randau', 'Marcio Rosario', 'Gregory Silva', 'Brian Tochi', 'Michael Zagst', 'Marc Cinquanta', 'Summer Moore']",4.27,nan,['Drama'],139,"['Germany', 'USA']",English,['English'],"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","['Fox 2000 Pictures', 'Regency Enterprises', 'The Linson Company', '20th Century Fox', 'Taurus Film']",4619767,501932,2131771,143000,4524,11960,5917,39655,33475,219830,235713,903743,519819,1267106,3241742,https://letterboxd.com/film/fight-club/,https://letterboxd.com/films/ajax/popular/this/year/
Beautiful Boy,2018,Felix van Groeningen,"['Steve Carell', 'Timothée Chalamet', 'Maura Tierney', 'Amy Ryan', 'Christian Convery', 'Oakley Bull', 'Kaitlyn Dever', 'Stefanie Scott', 'Julian Works', 'Jack Dylan Grazer', 'Zachary Rifkin', 'Kue Lawrence', 'Timothy Hutton', 'Amy Forsyth', 'Andre Royo', 'Ricky Low', 'LisaGay Hamilton', 'Carlton Wilborn', 'Amy Aquino', 'Marypat Farrell', 'Brandon James Cienfuegos', 'Cheska Corona', 'Mandeiya Flory', 'Martha T. Newman', 'Minerva García', 'Nikki Snipper', 'Anastasia Leddick', 'Edward Fletcher', 'Justin Townes Earle', 'Seann Gallagher', 'Brooklin Thacher', 'Sasha Kelly Jackson', 'Tom Beyer', 'David Mendenhall']",3.95,nan,['Drama'],119,['USA'],English,['English'],"After he and his first wife separate, journalist David Sheff struggles to help their teenage son, who goes from experimenting with drugs to becoming devastatingly addicted to methamphetamine.","['Plan B Entertainment', 'Big Indie Pictures', 'Amazon Studios']",1061757,157261,404172,43000,795,2203,2446,13072,19824,83376,121134,246644,98884,216474,804852,https://letterboxd.com/film/beautiful-boy-2018/,https://letterboxd.com/films/ajax/popular/this/year/
The Notebook,2004,Nick Cassavetes,"['Ryan Gosling', 'Rachel McAdams', 'Gena Rowlands', 'James Garner', 'Joan Allen', 'David Thornton', 'James Marsden', 'Kevin Connolly', 'Sam Shepard', 'Starletta DuPois', 'Ed Grady', 'Jennifer Echols', 'Heather Wahlquist', 'Cullen Moss', 'Thunderbird Dinwiddie', 'James Middleton', 'Peter Rosenfeld', 'Obba Babatundé', 'Chuck Pacheco', 'Todd Lewis', 'Mark Johnson', 'Robert Fraisse', 'Barbara Weetman', 'Daniel Chamblin', 'Sasha Azevedo', 'Jamie Anne Allman', 'Rebecca Koon', 'Sandra Elise Williams', 'Deborah Hobart', 'Sylvia Jefferies', 'Mark Garner', 'Scott Ritenour', 'Milton Buras', 'Elizabeth Bond', 'Matthew Barry', 'Nancy De Mayo', 'Renée Amber', ""Tim O'Brien"", ""Meredith O'Brien"", 'Geoffrey Knight', 'Andrew Schaff', 'Tim Ivey', 'Anthony-Michael Q. Thomas', 'Matt Shelly', 'Michael D. Fuller', 'Jonathan Parks Jordan', 'Leslea Fisher', 'Jude Kitchens', 'Pat Leonard', 'Kweli Leapart', 'Frederick Bingham', 'Daniel Czekalski', 'Bradley D. Capshaw', 'James Scott Deaton', 'Eve Kagan', 'Stephanie Wheeler', 'Erin Guzowski', 'John Cundari', 'Hugh Robertson', 'Robert Washington', 'Robert Ivey', 'Sherril M. Turner', 'Meredith Zealy', 'Julianne Keller Lewis', 'Madison Wayne Ellis', 'Riley Novak', 'Ronald Betts', 'Paul Johansson', 'David Abrams', 'Bruce Williamson', 'Bob Forrest', 'Taylor Engel']",3.79,nan,"['Romance', 'Drama']",123,['USA'],English,['English'],"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.","['New Line Cinema', 'Avery Pix', 'Gran Via Productions']",1862069,199756,554159,50000,5728,13329,9295,41998,43398,159022,153134,283656,102201,343913,1155674,https://letterboxd.com/film/the-notebook/,https://letterboxd.com/films/ajax/popular/this/year/
(500) Days of Summer,2009,Marc Webb,"['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Geoffrey Arend', 'Chloë Grace Moretz', 'Matthew Gray Gubler', 'Clark Gregg', 'Patricia Belcher', 'Rachel Boston', 'Minka Kelly', 'Charles Walker', 'Ian Reed Kesler', 'Darryl Alan Reed', 'Valente Rodriguez', 'Yvette Nicole Brown', 'Nicole Vicius', 'Natalie Boren', 'Maile Flanagan', 'Darryl Sivad', 'Gregory A. Thompson', 'Michael Bodie', 'John Mackie', 'Jacob Stroop', 'Kevin Michael', 'Sid Wilner', 'Richard McGonagle', 'Jean-Paul Vignon', 'Bryan Anthony', 'Sybil Azur', 'Cheryl Baxter', 'Gustavo Carr', 'John R. Corella', 'Nadine Ellis', 'Alejandro Estornel', 'Nathaniel Flatt', 'Reshma Gajjar', 'Tiffany Granath', 'Jennifer Hamilton', 'Brandon Henschel', 'Michael Higgins', 'Kenneth Hughes', 'Alexandra Nicole Hulme', 'John Jacquet Jr.', 'Jennifer Lee Keyes', 'Tim Lacatena', 'Rebecca Lin', 'Gelsey Weiss', 'Katie Malia', 'Anthony Marciona', 'Christopher Martinez', 'Vivian Nixon', 'Tracy Phillips', 'Nathan Prevost', 'Jamie Shea', 'Ryan Thomas', 'Christian Vincent', 'Jull Weber', 'Olivia Howard Bagg', 'Jason Robinson', 'Chris Connell', 'Samantha Krutzfeldt', 'Kathryn Weisbeck', 'Eileen Álvarez', 'Jennifer Hetrick', 'Pleasant Wayne']",3.67,nan,"['Romance', 'Comedy', 'Drama']",95,['USA'],English,"['English', 'French', 'Swedish']","Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.","['Fox Searchlight Pictures', 'Watermark Pictures', 'Dune Entertainment III']",2431735,241360,764755,36000,7671,18954,11718,61663,64568,277692,285199,488598,143781,265468,1625312,https://letterboxd.com/film/500-days-of-summer/,https://letterboxd.com/films/ajax/popular/this/year/
Dune,2021,Denis Villeneuve,"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', 'Chang Chen', 'Dave Bautista', 'David Dastmalchian', 'Zendaya', 'Charlotte Rampling', 'Babs Olusanmokun', 'Benjamin Clémentine', 'Souad Faress', 'Golda Rosheuvel', 'Roger Yuan', 'Seun Shote', 'Neil Bell', 'Oliver Ryan', 'Stephen Collins', 'Charlie Rawes', 'Richard Carter', 'Benjamin Dilloway', 'Elmi Rashid Elmi', 'Tachia Newall', 'Gloria Obianyo', 'Fehinti Balogun', 'Dora Kápolnai-Schvab', 'Joelle', 'Jimmy Walker', 'Paul Bullion', 'Milena Sidorova', 'János Timkó', 'Jean Gilpin', 'Marianne Faithfull', 'Ellen Dubin']",3.89,nan,"['Science Fiction', 'Adventure']",155,['USA'],English,"['English', 'Chinese']","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",['Legendary Pictures'],3527168,383093,1292285,25000,9706,29029,13998,87620,73374,338456,358322,890708,395417,495703,2692333,https://letterboxd.com/film/dune-2021/,https://letterboxd.com/films/ajax/popular/this/year/
Deadpool & Wolverine,2024,Shawn Levy,"['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen', 'Jon Favreau', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams', 'Jennifer Garner', 'Wesley Snipes', 'Channing Tatum', 'Chris Evans', 'Henry Cavill', 'Wunmi Mosaku', 'Aaron Stanford', 'Tyler Mane', 'Karan Soni', 'Brianna Hildebrand', 'Shioli Kutsuna', 'Stefan Kapičić', 'Randal Reeder', 'Lewis Tan', 'Nick Pauley', 'Sonita Henry', 'Ryan McKen', 'Nanak Phlora', 'Aydin Ahmed', 'Leemore Marrett Jr.', 'James Dryden', 'Ollie Palmer', 'Greg Hemphill', 'Aaron W Reed', 'Mike Waters', 'Rob McElhenney', 'James Reynolds', 'Ed Kear', 'Paul G. Raymond', 'Blake Lively', 'Inez Reynolds', 'Nathan Fillion', 'Matthew McConaughey', 'OIin Reynolds', 'Paul Mullin', 'Alex Kyshkovych', 'Billy Clements', 'Daniel Medina Ramos', 'Jade Lye', 'Nilly Cetin', 'Eduardo Gago Muñoz', 'Chloe Kibble', 'Curtis Rowland Small', 'Ayesha Hussain', 'Jessica Walker', 'Harry Holland', 'Kevin Fortin', 'Luke Bennett']",3.5,nan,"['Science Fiction', 'Action', 'Comedy']",128,['USA'],English,['English'],"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","['Marvel Studios', 'Maximum Effort', '21 Laps Entertainment', '20th Century Studios', 'Kevin Feige Productions', 'TSG Entertainment']",1924455,292001,650560,6300,11064,23056,23303,77344,103289,281729,305950,433256,154414,243327,1656732,https://letterboxd.com/film/deadpool-wolverine/,https://letterboxd.com/films/ajax/popular/this/year/
Aftersun,2022,Charlotte Wells,"['Paul Mescal', 'Frankie Corio', 'Brooklyn Toulson', 'Celia Rowlson-Hall', 'Sally Messham', 'Ayşe Parlak', 'Sophia Lamanova', 'Spike Fearn', 'Harry Perdios', 'Frank Corio', 'Ruby Thompson', 'Ethan James Smith', 'Onur Ekşioğlu', 'Cafer Karahan', 'Kayleigh Coleman', 'John Stuifzand', 'Tyler Mutlu', 'Kieran Burton', 'Nijat Gachayev', 'Sarah Makharine', 'Erol Cengizalp', 'Djamel Turner']",4.23,nan,['Drama'],101,"['UK', 'USA']",English,"['English', 'Spanish', 'Turkish']",Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.,"['PASTEL', 'BBC Film', 'Tango Entertainment', 'Unified Theory', 'Screen Scotland', 'BFI']",1221510,309970,540058,75000,1832,4313,3002,15130,17623,71468,97683,270734,187705,350652,1020142,https://letterboxd.com/film/aftersun/,https://letterboxd.com/films/ajax/popular/this/year/
Joker: Folie à Deux,2024,Todd Phillips,"['Joaquin Phoenix', 'Lady Gaga', 'Brendan Gleeson', 'Catherine Keener', 'Zazie Beetz', 'Steve Coogan', 'Harry Lawtey', 'Leigh Gill', 'Ken Leung', 'Jacob Lofland', 'Bill Smitrovich', 'Sharon Washington', 'Alfred Rubin Thompson', 'Connor Storrie', 'Gregg Daniel', 'Mac Brandt', 'George Carroll', 'John Lacy', 'Tim Dillon', 'Wayne Dehart', 'Troy Fromin', 'Ajgie Kirkland', 'Terrance T.P. Polite', 'Jimmy Walker Jr.', 'Toney Wilson', 'June Carryl', 'Don McManus', 'G.L. McQueary', 'Angela D. Watson', 'Murphy Guyer', 'Carson Higgins', 'Gattlin Griffith', 'Hudson Oz', 'Ray Lykins', 'Will Ropp', 'Ashton Moio', 'Emilio Rojas', 'Joe Spinney', 'Richard Busser', 'Brian Donahue', 'Mike Houston', 'Jess King', 'Jimmy Smagula', 'Stephen Stanton', 'Martin Kildare', 'Laurie Dawn', 'Steven X. Greenfield', 'Dominiqué Williams-Blair', 'Barry Bonder', ""Kaylah Sharve' Baker"", 'Ashley Levin', 'Celeste Butler', 'Alex Wesley Smith', 'Robert Loftus', 'Nick Cave']",2.42,nan,"['Thriller', 'Crime', 'Drama']",138,['USA'],English,['English'],"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.","['Warner Bros. Pictures', 'Joint Effort', 'Domain Entertainment']",686621,123419,95260,618,24262,52461,53368,121766,98135,115233,63478,51423,11858,15294,607278,https://letterboxd.com/film/joker-folie-a-deux/,https://letterboxd.com/films/ajax/popular/this/year/
Queer,2024,Luca Guadagnino,"['Daniel Craig', 'Drew Starkey', 'Jason Schwartzman', 'Lesley Manville', 'Henry Zaga', 'Drew Droege', 'Omar Apollo', 'Andra Ursuta', 'Lisandro Alonso', 'Ariel Schulman', 'David Lowery', 'Daan de Wit', 'Colin Bates', 'Simon Rizzoni', 'Silverio Castro', 'Octavio Mendoza', 'Amir Antonio Samande Chavez', 'Andrea Montserrat Rios Hernandez', 'Claudio Cardenas', 'Gilberto Barraza', 'Jean Carlos Gonzalez Flores', 'Michael Kent', 'Lorenzo Pozzan', 'Ronia Ava', 'Juan Domingo Sandoval Puga', 'Michaël Borremans', 'Andrés Duprat', 'Perla Ambrosini']",3.44,nan,"['Romance', 'Drama']",138,"['Italy', 'USA']",English,"['English', 'Spanish']","In 1950s Mexico City, William Lee, an American expat in his late forties, leads a solitary life amidst a small American community. However, the arrival in town of Eugene Allerton, a young student, stirs William into finally establishing a meaningful connection with someone.","['Fremantle', 'The Apartment Pictures', 'Frenesy Film']",138716,57558,41616,1100,686,1657,1736,7228,9559,21953,23756,29710,11250,8835,116370,https://letterboxd.com/film/queer-2024/,https://letterboxd.com/films/ajax/popular/this/year/
Inside Out 2,2024,Kelsey Mann,"['Amy Poehler', 'Maya Hawke', 'Kensington Tallman', 'Liza Lapira', 'Tony Hale', 'Lewis Black', 'Phyllis Smith', 'Ayo Edebiri', 'Lilimar', 'Grace Lu', 'Sumayyah Nuriddin-Green', 'Adèle Exarchopoulos', 'Diane Lane', 'Kyle MacLachlan', 'Paul Walter Hauser', 'Yvette Nicole Brown', 'Ron Funches', 'James Austin Johnson', 'Yong Yea', 'Steve Purcell', 'Dave Goelz', 'Kirk R. Thatcher', 'Frank Oz', 'Paula Pell', 'June Squibb', 'Pete Docter', 'Paula Poundstone', 'John Ratzenberger', 'Sarayu Blue', 'Flea', 'Bobby Moynihan', 'Kendall Coyne Schofield']",3.63,nan,"['Comedy', 'Family', 'Animation', 'Adventure']",97,['USA'],English,['English'],"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","['Walt Disney Pictures', 'Pixar']",2017638,234272,593791,2100,3100,8800,8841,50539,73996,301547,343246,520615,149184,230060,1689928,https://letterboxd.com/film/inside-out-2-2024/,https://letterboxd.com/films/ajax/popular/this/year/
