Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Knives Out,2019,Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'Lakeith Stanfield', 'Christopher Plummer', 'Katherine Langford', 'Jaeden Martell', 'Riki Lindhome', 'Edi Patterson', 'Frank Oz', 'K Callan', 'Noah Segan', 'M. Emmet Walsh', 'Marlene Forte', 'Raúl Castillo', 'Shyrley Rodriguez', 'Kerry Frances', 'Gary Tanguay', 'Octavia Chavez-Richmond', 'Joseph Gordon-Levitt', 'Paul Bellefeuille', 'Ben Bunnag', 'Michael Burnell', 'Frankie Francois', 'Marcela Jaramillo', 'Show All…', 'Gabrielle Lorthe', 'Rob Lévesque', 'Paul Tawczynski']",4,4.02,https://letterboxd.com//film/knives-out-2019/
Sound of Metal,2019,Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff', 'Mathieu Amalric', 'Tom Kemp', 'Chris Perfetti', 'Hillary Baack', 'Chelsea Lee', 'Shaheem Sanchez', 'Rena Maliszewski', 'Michael Tow', 'William Xifaras', 'Jamie Ghazarian', 'David Arthur Sousa', 'Bill Thorpe', 'Marisa Defranco', 'Jeremy Lee Stone', 'Alex Kilgore', 'Dani Miller', 'Sean Powell', 'Alan Resnic', ""Thomas O'Brien Vallor""]",3.5,4.12,https://letterboxd.com//film/sound-of-metal/
The Platform,2019,Galder Gaztelu-Urrutia,"['Ivan Massagué', 'Antonia San Juan', 'Zorion Eguileor', 'Emilio Buale', 'Alexandra Masangkay', 'Zihara Llana', 'Mario Pardo', 'Algis Arlauskas', 'Txubio Fernández de Jáuregui', 'Eric Goode', 'Óscar Oliver', 'Chema Trujillo', 'Miriam Martín', 'Gorka Zufiaurre', 'Miriam K. Martxante', 'Miren Gaztañaga', 'Braulio Cortés', 'Javier Mediavilla', 'Álvaro Orellana', 'Juan Dopico', 'Lian Xushao']",2.5,3.27,https://letterboxd.com//film/the-platform/
Joker,2019,Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Shea Whigham', 'Bill Camp', 'Glenn Fleshler', 'Leigh Gill', 'Josh Pais', 'Rocco Luna', 'Marc Maron', 'Sondra James', 'Murphy Guyer', 'Douglas Hodge', 'Dante Pereira-Olson', 'Carrie Louise Putrello', 'Sharon Washington', 'Hannah Gross', 'Frank Wood', 'Brian Tyree Henry', 'April Grace', 'Mick Szal', 'Carl Lundstedt', 'Michael Benz', 'Ben Warheit', 'Gary Gulman', 'Sam Morril', 'Chris Redd', 'Show All…', 'Mandela Bellamy', 'Demetrius Dotson II', 'Greer Barnes', 'Ray Iannicelli', 'Bryan Callen', 'Vito Gerbino', 'Adam Quezada', 'Xavyer Ureña', 'Evan Rosado', 'Damian Emmanuel', 'Mike Troll', 'Jane Fergus', 'David Gibson', 'Tony D. Head', 'Jeff McCarthy', 'Kim Brockington', 'Troy Roberts', 'Lou Young', 'Michael-Scott Druckenmiller', 'Craig Austin', 'John Cenatiempo', 'Danny Schoch', 'Keith Buterbaugh', 'James Ciccone', 'Rich Campbell', 'Roger Squitero', 'Steven Elson', 'Graham Mabry', 'John Alldred', 'Alonzo Wright', 'Jack Wilkins', 'Richard Baratta', 'Jolie Chan', 'Mary Kate Malat', 'Adrienne Lovette', 'Justin Theroux', 'Alissa Bourne', 'Jamaal Burcher', 'Dj Nino Carta', 'John Cashin', 'Jason John Cicalese', 'Brendan Patrick Connor', 'Blaise Corrigan', 'Dennis Jay Funny', 'Matthias Sebastiun Garry', 'James P. Harkins', 'Joseph Hernandez', 'Ben Heyman', 'Lana McLellan', 'Graham Maby', 'Peter Benson']",3.5,3.83,https://letterboxd.com//film/joker-2019/
Ford v Ferrari,2019,James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe', 'Josh Lucas', 'Noah Jupe', 'Tracy Letts', 'Remo Girone', 'Ray McKinnon', 'J.J. Feild', 'Jack McMullen', 'Corrado Invernizzi', 'Joseph Williamson', 'Ian Harding', 'Christopher Darga', 'Shawn Law', 'Emil Beheshti', 'Darrin Prescott', 'Alex Gurney', 'Benjamin Rigby', 'Ben Collins', 'Francesco Bauco', 'Guido Cocomello', 'Adam Mayfield', 'Sean Carrigan', 'Lachlan Buchanan', 'Giles Matthey', 'Rudolf Martin', 'Evan Arnold', 'Show All…', 'Darin Cooper', 'Elizabeth Dement', 'Wallace Langham', 'Jonathan LaPaglia', 'Brad Beyer', 'Ottavio Taddei', 'Giovanni Cirfiera', 'Wyatt Nash', 'Drew Rausch', 'Ward Horton', 'Luigi Debiasse', 'Michael Lanahan', 'Tanner Foust', 'Peter Arpesella', 'Andrew Burlinson', 'Lou Beatty Jr.', 'Clement Larue', 'Olivier Blin', 'Marc Forget', 'Stephane Fiorenza', 'Joss Glennie-Smith', 'Tim Banning', 'Arron Shiver', 'Paul Fox', 'Zack Zublena', 'Aylam Orian', 'Kirt Kishita', 'Stefania Spampinato', 'Gian Franco Tordi', 'Cameron Taylor', 'James Tappan', ""Ryan O'Dell"", 'Mario Di Donato', 'Bonnie Antonini', 'Jenelle McKee', 'Grace Fae', 'Jan Munroe', 'Marisa Petroro', 'Leif Carlgren', 'Jon Francis Ueberroth', 'Camillo Faieta', 'Steven Ziel', 'Vernon Dew', 'Angelo Dibello', 'Larsen Deane', 'Craig Frosty Silva', 'Brad McCabe', 'Brent Pontin', 'Mark Krenik', 'Thomas John Rudolph', 'Luka Bale']",3.5,3.83,https://letterboxd.com//film/ford-v-ferrari/
Uncut Gems,2019,"Josh Safdie, Benny Safdie","['Adam Sandler', 'Julia Fox', 'Lakeith Stanfield', 'Idina Menzel', 'Kevin Garnett', 'Eric Bogosian', 'Judd Hirsch', 'Abel Tesfaye', 'Tilda Swinton', 'John Amos', 'Trinidad James', 'Marcia DeBonis', 'Jeremy Sample', 'Hailey Gates', 'Noa Fisher', 'Anthony Mecca', 'Jake Ryan', 'Natasha Lyonne', 'Sahar Bibiyan', 'Josh Ostrovsky', 'Robbie DeRaffele', 'Warren Finkelstein', 'Keith Williams Richards', 'Thomas Kominik', 'Maksud Agadjani', 'Ca$h Out', 'Andrea Linsky', 'Roman Persits', 'Paloma Elsesser', 'Show All…', 'Pom Klementieff', 'Mike Francesa', 'Gerard ""Dash"" McQuiller', 'Darien Howard', 'Jonathan Aranbayev', 'Todd Vulpio', 'Ronald Greenberg', 'Marshall Greenberg', 'Michael A. Sollecito', 'Sean Ringgold', 'Damany Eastman', 'Jacob Igielski', 'Shemsi Selimaj', 'Arthur Borukhov', 'Stuart Wenig', 'Mitchell Wenig', 'Mesfin Lamengo', 'Sun Zhi Hua-Hilton', 'Sunny Wu Jin Zahao', 'Liang Wei-Hui-Duncan', 'Daneke Muhugeta', 'Habtunu Africho', 'Raleem Moses', 'Keren Shemel', 'Max Bartos', 'Louis Anthony Arias', 'Aren Topian', 'Lino Eisenberg', 'Shiv Pai', 'Kerwin Frost', 'La Mar Taylor', 'William Sappe', 'Greg Yuna', 'Victor Plajas', 'Ricky Barksdale', 'Jennifer Venditti', 'Larry Sloman', 'Benjy Kleiner', 'Svetlana B. Levitin', 'Roza Babekova', 'Jessica Mullayev', 'Izra Malakov', 'Brad Davidorf', 'Ralph Colucci', 'Marty Tendler', 'Conor Coyne', 'Alexander Gilkes', 'Jennifer Sacks', 'Wayne Diamond', 'Debbie DeLisi', 'Chad Neves', 'Ara Daglian', ""Glenn 'Doc' Rivers"", 'Erika Wachter', 'Paige Neuenschwander', 'Cassie Prusiensky', 'Ursula Triplett']",4.5,3.98,https://letterboxd.com//film/uncut-gems/
Marriage Story,2019,Noah Baumbach,"['Adam Driver', 'Scarlett Johansson', 'Laura Dern', 'Alan Alda', 'Ray Liotta', 'Julie Hagerty', 'Merritt Wever', 'Azhy Robertson', 'Wallace Shawn', 'Martha Kelly', ""Mark O'Brien"", 'Julia Greer', 'Matthew Maher', 'Eric Berryman', 'Mickey Sumner', 'Jasmine Cephas Jones', 'Gideon Glick', 'Motell Gyn Foster', 'David Turner', 'Raymond J. Lee', 'Mary Wiseman', 'Pete Simpson', 'Irene Choi', 'Matthew Shear', 'Becca Blackwell', 'Brooke Bloom', 'Hannah Dunne', 'McKinley Belcher III', 'Roslyn Ruff', 'Show All…', 'Santiago Mallan', 'Robert Smigel', 'Amanda Rovner', 'Carlos Jacott', 'Sarah Jones', 'Dean Wareham', 'Bashir Salahuddin', 'Vinny Chhibber', 'Ayden Mayeri', 'Erin Evans', 'Lucas Neff', 'Annie Hamilton', 'Tunde Adebimpe', 'Jordyn Curet', 'Justin Claiborne', 'Kyle Bornheimer', 'Pilar Holland', 'Emily Cass McDonnell', 'Andrew Steven Hernandez', 'Amir Talai', 'Juan Alfonso', 'Connie Marie Flores', 'Jeremy Barber', 'Rich Fulcher', 'Mary Hollis Inboden', 'Peter Oliver']",5,4.02,https://letterboxd.com//film/marriage-story-2019/
Ready or Not,2019,"Matt Bettinelli-Olpin, Tyler Gillett","['Samara Weaving', 'Adam Brody', 'Henry Czerny', 'Andie MacDowell', 'Melanie Scrofano', 'Elyse Levesque', 'Kristian Bruun', 'John Ralston', ""Mark O'Brien"", 'Nicky Guadagni', 'Hanneke Talbot', 'Liam MacDonald', 'Ethan Tavares', 'Celine Tsai', 'Daniela Barbosa', 'Chase Churchill', 'Etienne Kellici', 'Andrew Anthony', 'Elana Dunkelman', 'Kate Ziegler', 'James Eddy', 'Adam Winlove-Smith', 'Alicia Richardson', 'Nat Faxon', 'Guy Busick', 'R. Christopher Murphy', 'James Vanderbilt']",3,3.53,https://letterboxd.com//film/ready-or-not-2019/
Midsommar,2019,Ari Aster,"['Florence Pugh', 'Jack Reynor', 'William Jackson Harper', 'Will Poulter', 'Vilhelm Blomgren', 'Isabelle Grill', 'Gunnel Fred', 'Ellora Torchia', 'Archie Madekwe', 'Henrik Norlén', 'Agnes Westerlund Rase', 'Julia Ragnarsson', 'Mats Blomgren', 'Lars Väringer', 'Anna Åström', 'Hampus Hallberg', 'Liv Mjönes', 'Louise Peterhoff', 'Katarina Weidhagen', 'Björn Andrésen', 'Tomas Engström', 'Dag Andersson', 'Lennart R. Svensson', 'Anders Beckman', 'Rebecka Johnston', 'Tove Skeidsvoll', 'Anders Back', 'Anki Larsson', 'Levente Puczkó-Smith', 'Show All…', 'Frans Cavallin Rosengarten', 'Vilmos Kolba', 'Mihály Kaszás', 'Gabi Fón', 'Zsolt Bojári', 'Klaudia Csányi', 'Anna Berentzen', 'Austin R. Grant']",4,3.82,https://letterboxd.com//film/midsommar/
When They See Us,2019,Ava DuVernay,"['Jharrel Jerome', 'Ethan Herisse', 'Marquis Rodriguez', 'Asante Blackk', 'Caleel Harris', 'Marsha Stephanie Blake', 'Michael Kenneth Williams', 'John Leguizamo', 'Aunjanue Ellis', 'Niecy Nash', 'Kylie Bunbury']",4.5,4.53,https://letterboxd.com//film/when-they-see-us/
