Film_title,Release_year,Director,Average_rating,Letterboxd URL
Bodyguard,2016,Ebrahim Hatamikia,1.81,https://letterboxd.com//film/bodyguard-2016/
Who Killed Captain Alex?,2010,Nabwana I.G.G.,4.1,https://letterboxd.com//film/who-killed-captain-alex/
Suicide Room,2011,Jan Komasa,2.93,https://letterboxd.com//film/suicide-room/
Jonathan Livingston Seagull,1973,Hall Bartlett,2.74,https://letterboxd.com//film/jonathan-livingston-seagull/
Thin Watermelon,melo,Nathan Fielder,4.17,https://letterboxd.com//film/thin-watermelon/
Yonlu,2018,Hique Montanari,2.8,https://letterboxd.com//film/yonlu/
Cats,1998,David Mallet,3.37,https://letterboxd.com//film/cats/
The Painting Pool,2013,Maziar Miri,2.72,https://letterboxd.com//film/the-painting-pool/
Tubelight,2017,Kabir Khan,2.14,https://letterboxd.com//film/tubelight/
Rock 'n' Roll High School Forever,1991,Deborah Brock,2.52,https://letterboxd.com//film/rock-n-roll-high-school-forever/
Close Encounters of the Fifth Kind,2020,Michael Mazzola,2.86,https://letterboxd.com//film/close-encounters-of-the-fifth-kind/
God's Not Dead,2014,Harold Cronk,1.33,https://letterboxd.com//film/gods-not-dead/
Crash,2004,Paul Haggis,2.93,https://letterboxd.com//film/crash-2004/
Descendants 2,2017,Kenny Ortega,2.84,https://letterboxd.com//film/descendants-2/
A Perfect Ending,2012,Nicole Conn,2.16,https://letterboxd.com//film/a-perfect-ending/
Blood Freak,1972,"Steve Hawkes, Brad F. Grinter",2.27,https://letterboxd.com//film/blood-freak/
The Stupids,1996,John Landis,2.16,https://letterboxd.com//film/the-stupids/
Be Somebody,2016,Joshua Caldwell,2.08,https://letterboxd.com//film/be-somebody/
Kuso,2017,Flying Lotus,2.79,https://letterboxd.com//film/kuso/
Twentynine Palms,2003,Bruno Dumont,2.97,https://letterboxd.com//film/twentynine-palms/
Daphne & Velma,2018,Suzi Yoonessi,2.04,https://letterboxd.com//film/daphne-velma/
Are All Men Pedophiles?,2012,Jan-Willem Breure,2.09,https://letterboxd.com//film/are-all-men-pedophiles/
Status Update,2018,Scott Speer,2.08,https://letterboxd.com//film/status-update/
After We Collided,2020,Roger Kumble,1.48,https://letterboxd.com//film/after-we-collided/
Dirty Dancing,2017,Wayne Blair,1.64,https://letterboxd.com//film/dirty-dancing-2017/
What's Left of You,2015,Abdullah Oğuz,3.14,https://letterboxd.com//film/whats-left-of-you/
"The Class of Chaos 3,5",2006,Ferdi Eğilmez,1.71,https://letterboxd.com//film/the-class-of-chaos-35/
When Black Birds Fly,2016,Jimmy ScreamerClauz,3.46,https://letterboxd.com//film/when-black-birds-fly/
Subdued,2017,Hamid Nematollah,2.27,https://letterboxd.com//film/subdued/
Husband Factor: Resurrection,2016,Kıvanç Baruönü,2.49,https://letterboxd.com//film/husband-factor-resurrection/
Acrimony,2018,Tyler Perry,2.32,https://letterboxd.com//film/acrimony/
Serial Teachers 2,2015,Pierre-François Martin-Laval,2.12,https://letterboxd.com//film/serial-teachers-2/
Celal and Ceren,2013,Togan Gökbakar,1.96,https://letterboxd.com//film/celal-and-ceren/
Bonehill Road,2017,Todd Sheets,2.57,https://letterboxd.com//film/bonehill-road/
I-Be Area,2007,Ryan Trecartin,3.79,https://letterboxd.com//film/i-be-area/
Another Cinderella Story,2008,Damon Santostefano,2.7,https://letterboxd.com//film/another-cinderella-story/
Skate Witches,1986,Danny Plotnick,3.63,https://letterboxd.com//film/skate-witches/
Life and a Day,2016,Saeed Roustayi,3.19,https://letterboxd.com//film/life-and-a-day/
Father Frost,1964,Aleksandr Rou,2.78,https://letterboxd.com//film/father-frost/
Range 15,2016,Ross Patterson,1.61,https://letterboxd.com//film/range-15/
The Twilight Saga: Eclipse,2010,David Slade,2.38,https://letterboxd.com//film/the-twilight-saga-eclipse/
Chaos,2005,David DeFalco,1.76,https://letterboxd.com//film/chaos-2005-4/
Chainsaw Scumfuck,1988,Alex Chandon,2.76,https://letterboxd.com//film/chainsaw-scumfuck/
Fingered,1986,Richard Kern,3.13,https://letterboxd.com//film/fingered/
Atlas Shrugged: Part I,2011,Paul Johansson,1.82,https://letterboxd.com//film/atlas-shrugged-part-i/
Housefull 3,2016,"Farhad Samji, Sajid Samji",2.05,https://letterboxd.com//film/housefull-3/
Barbie in Rock 'N Royals,2015,Karen J. Lloyd,2.64,https://letterboxd.com//film/barbie-in-rock-n-royals/
Sağ Salim,2012,Ersoy Güler,2.27,https://letterboxd.com//film/sag-salim/
Grease 2,1982,Patricia Birch,2.21,https://letterboxd.com//film/grease-2/
Mariah Carey's All I Want for Christmas Is You,2017,Guy Vasilovich,2.3,https://letterboxd.com//film/mariah-careys-all-i-want-for-christmas-is-you/
Head with Hammer,2001,David Lynch,2.32,https://letterboxd.com//film/head-with-hammer/
Kinski Paganini,1989,Klaus Kinski,2.88,https://letterboxd.com//film/kinski-paganini/
Chaotic Ana,2007,Julio Medem,2.81,https://letterboxd.com//film/chaotic-ana/
Freaky Friday,2018,Steve Carr,1.86,https://letterboxd.com//film/freaky-friday-2018/
The Raspberry Reich,2004,Bruce LaBruce,3.25,https://letterboxd.com//film/the-raspberry-reich/
No Filter,2016,Nicolás López,2.11,https://letterboxd.com//film/no-filter/
Sarah Cooper: Everything's Fine,2020,Natasha Lyonne,2.47,https://letterboxd.com//film/sarah-cooper-everythings-fine/
R.L. Stine's Monsterville: The Cabinet of Souls,2015,Peter DeLuise,2.48,https://letterboxd.com//film/rl-stines-monsterville-the-cabinet-of-souls/
MVP: Most Valuable Primate,2000,Robert Vince,2.14,https://letterboxd.com//film/mvp-most-valuable-primate/
Dear God No!,2011,James Bickert,2.44,https://letterboxd.com//film/dear-god-no/
The Turning Point,2020,Steve Cutts,3.0,https://letterboxd.com//film/the-turning-point-2020/
The Kiss,1887,Eadweard Muybridge,3.37,https://letterboxd.com//film/the-kiss-1887/
Shoot Me in the Heart,2015,Je-yong Mun,3.4,https://letterboxd.com//film/shoot-me-in-the-heart/
Djinn,2013,Tobe Hooper,2.56,https://letterboxd.com//film/djinn-2013/
E Aí... Comeu?,2012,Felipe Joffily,1.89,https://letterboxd.com//film/e-ai-comeu/
Fig Jam,2011,Aytaç Ağırlar,2.62,https://letterboxd.com//film/fig-jam/
The Boxing Cats (Prof. Welton's),1894,"William K.L. Dickson, William Heise",3.05,https://letterboxd.com//film/the-boxing-cats-prof-weltons/
Touch Me Not,2018,Adina Pintilie,2.86,https://letterboxd.com//film/touch-me-not-2018/
Spring Breakers,2012,Harmony Korine,2.86,https://letterboxd.com//film/spring-breakers/
Kutsal Damacana,2007,Ahmet Yılmaz,2.12,https://letterboxd.com//film/kutsal-damacana/
Out Of The Clear Blue Sky,2019,Pepe Bojórquez,2.33,https://letterboxd.com//film/out-of-the-clear-blue-sky-2019/
R... Rajkumar,2013,Prabhu Deva,2.25,https://letterboxd.com//film/r-rajkumar/
İncir Reçeli 2,2014,Aytaç Ağırlar,2.52,https://letterboxd.com//film/incir-receli-2/
Emerald Green,2016,"Felix Fuchssteiner, Katharina Schöde",2.66,https://letterboxd.com//film/emerald-green/
The Smokers,2000,Kat Slater,2.16,https://letterboxd.com//film/the-smokers/
Romantik Komedi,2010,Ketche,2.23,https://letterboxd.com//film/romantik-komedi/
Recep Ivedik 5,2017,Togan Gökbakar,1.5,https://letterboxd.com//film/recep-ivedik-5/
Fullmetal Alchemist,2017,Fumihiko Sori,2.2,https://letterboxd.com//film/fullmetal-alchemist/
Hum Saath Saath Hain,1999,Sooraj Barjatya,2.7,https://letterboxd.com//film/hum-saath-saath-hain/
The Web,2013,Nathan Fielder,4.24,https://letterboxd.com//film/the-web-2013/
2012: Ice Age,2011,"Trey Stokes, Travis Fort",1.83,https://letterboxd.com//film/2012-ice-age/
30 Rock: A One-Time Special,2020,Oz Rodriguez,2.67,https://letterboxd.com//film/30-rock-a-one-time-special/
A Cinderella Christmas,2016,Tosca Musk,2.39,https://letterboxd.com//film/a-cinderella-christmas/
Half Girlfriend,2017,Mohit Suri,2.19,https://letterboxd.com//film/half-girlfriend/
Cannibal Holocaust,1980,Ruggero Deodato,2.93,https://letterboxd.com//film/cannibal-holocaust/
The Bunny Game,2011,Adam Rehmeier,1.86,https://letterboxd.com//film/the-bunny-game/
Attack of the Beast Creatures,1985,Michael Stanley,2.58,https://letterboxd.com//film/attack-of-the-beast-creatures/
Vibrations,1996,Michael Paseornek,2.87,https://letterboxd.com//film/vibrations-1996/
King Lear,1987,Jean-Luc Godard,3.32,https://letterboxd.com//film/king-lear-1987/
No.7 Cherry Lane,2019,Yonfan,2.67,https://letterboxd.com//film/no7-cherry-lane/
The Master of Disguise,2002,Perry Andelin Blake,1.61,https://letterboxd.com//film/the-master-of-disguise/
Descendants 3,2019,Kenny Ortega,2.91,https://letterboxd.com//film/descendants-3/
Walk. Ride. Rodeo.,2019,Conor Allyn,2.7,https://letterboxd.com//film/walk-ride-rodeo/
A Bride for Christmas,2012,Gary Yates,2.63,https://letterboxd.com//film/a-bride-for-christmas/
Luz: The Flower of Evil,2019,Juan Diego Escobar Alzate,2.69,https://letterboxd.com//film/luz-the-flower-of-evil/
Let It Snow,2013,Harvey Frost,2.73,https://letterboxd.com//film/let-it-snow/
Snuff 102,2007,Mariano Peralta,2.15,https://letterboxd.com//film/snuff-102/
Girltrash: All Night Long,2014,Alexandra Kondracke,2.95,https://letterboxd.com//film/girltrash-all-night-long/
Cloud 9,2014,Paul Hoen,2.52,https://letterboxd.com//film/cloud-9-2014/
Empire of the Dark,1990,Steve Barkett,3.0,https://letterboxd.com//film/empire-of-the-dark/
Gosnell: The Trial of America's Biggest Serial Killer,2018,Nick Searcy,2.84,https://letterboxd.com//film/gosnell-the-trial-of-americas-biggest-serial-killer/
Dragon Ball: The Magic Begins,1991,Chan Jun-Leung,2.4,https://letterboxd.com//film/dragon-ball-the-magic-begins/
How High 2,2019,Bruce Leddy,1.87,https://letterboxd.com//film/how-high-2/
The Red Thread,2016,Daniela Goggi,2.1,https://letterboxd.com//film/the-red-thread-2016/
Sadece Sen,2014,Hakan Yonat,3.41,https://letterboxd.com//film/sadece-sen/
Just 6.5,2019,Saeed Roustayi,2.91,https://letterboxd.com//film/just-65/
Sodomites,1998,Gaspar Noé,1.84,https://letterboxd.com//film/sodomites/
Reflections of Evil,2002,Damon Packard,3.86,https://letterboxd.com//film/reflections-of-evil/
Something Like Summer,2017,David Berry,2.57,https://letterboxd.com//film/something-like-summer/
Forever My Girl,2018,Bethany Ashton Wolf,2.76,https://letterboxd.com//film/forever-my-girl/
Barbie in Princess Power,2015,Ezekiel Norton,2.38,https://letterboxd.com//film/barbie-in-princess-power/
Subconscious Cruelty,2000,Karim Hussain,2.92,https://letterboxd.com//film/subconscious-cruelty/
Horrid Henry: The Movie,2011,Nick Moore,1.56,https://letterboxd.com//film/horrid-henry-the-movie/
Beastmaster 2: Through the Portal of Time,1991,Sylvio Tabet,2.54,https://letterboxd.com//film/beastmaster-2-through-the-portal-of-time/
Sonic,2013,Eddie Lebron,1.8,https://letterboxd.com//film/sonic/
asdfmovie,2008,Thomas Ridgewell,3.06,https://letterboxd.com//film/asdfmovie-2008/
The Bad Mother's Handbook,2007,Robin Sheppard,2.56,https://letterboxd.com//film/the-bad-mothers-handbook/
A Cinderella Story: Once Upon a Song,2011,Damon Santostefano,2.52,https://letterboxd.com//film/a-cinderella-story-once-upon-a-song/
Low Blow,1986,Frank Harris,2.58,https://letterboxd.com//film/low-blow/
Hercules and the Captive Women,1961,Vittorio Cottafavi,2.66,https://letterboxd.com//film/hercules-and-the-captive-women/
Yellow Is the New Black,2018,"Serguei Kouchnerov, Fabien Polack",2.51,https://letterboxd.com//film/yellow-is-the-new-black/
Sledgehammer,1983,David A. Prior,2.7,https://letterboxd.com//film/sledgehammer/
Belle's Magical World,1998,"Cullen Blaine, Dale Case",1.98,https://letterboxd.com//film/belles-magical-world/
The Best of Me,2014,Michael Hoffman,2.92,https://letterboxd.com//film/the-best-of-me-2014/
Spaced Invaders,1990,Patrick Read Johnson,2.99,https://letterboxd.com//film/spaced-invaders/
Little Women,2018,Clare Niederpruem,2.27,https://letterboxd.com//film/little-women-2018/
Christmas in the Heartland,2017,Harvey Lowry,2.2,https://letterboxd.com//film/christmas-in-the-heartland/
Barbie and the Rockers: Out of This World,1987,Bernard Deyriès,3.37,https://letterboxd.com//film/barbie-and-the-rockers-out-of-this-world/
Ozark Sharks,2016,Misty Talley,3.4,https://letterboxd.com//film/ozark-sharks/
Passage of Venus,1874,P.J.C. Janssen,3.38,https://letterboxd.com//film/passage-of-venus/
Body Rock,1984,Marcelo Epstein,2.3,https://letterboxd.com//film/body-rock/
Clifford,1994,Paul Flaherty,2.87,https://letterboxd.com//film/clifford/
My Little Pony: Equestria Girls - Rainbow Rocks,2014,"Jayson Thiessen, Ishi Rudell",3.13,https://letterboxd.com//film/my-little-pony-equestria-girls-rainbow-rocks/
Clannad,2007,Osamu Dezaki,3.04,https://letterboxd.com//film/clannad/
Norbit,2007,Brian Robbins,1.69,https://letterboxd.com//film/norbit/
Blue Lagoon: The Awakening,2012,"Mikael Salomon, Jake Newsome",2.05,https://letterboxd.com//film/blue-lagoon-the-awakening/
Head Full of Honey,2014,Til Schweiger,2.69,https://letterboxd.com//film/head-full-of-honey/
The Problem with Apu,2017,Michael Melamedoff,2.89,https://letterboxd.com//film/the-problem-with-apu/
Conquest 1453,2012,Faruk Aksoy,2.27,https://letterboxd.com//film/fetih-1453/
Baaghi 3,2020,Ahmed Khan,1.92,https://letterboxd.com//film/baaghi-3/
Me Him Her,2015,Max Landis,2.3,https://letterboxd.com//film/me-him-her/
Spooky Buddies,2011,Robert Vince,1.99,https://letterboxd.com//film/spooky-buddies/
Wizards On Deck with Hannah Montana,2009,"Rich Correll, Victor Gonzalez",2.93,https://letterboxd.com//film/wizards-on-deck-with-hannah-montana/
The Country Bears,2002,Peter Hastings,1.98,https://letterboxd.com//film/the-country-bears/
Love Never Dies,2012,"Brett Sullivan, Simon Phillips",2.55,https://letterboxd.com//film/love-never-dies/
Barbie: A Fairy Secret,2011,"William Lau, Terry Klassen",3.1,https://letterboxd.com//film/barbie-a-fairy-secret/
High School Musical,2006,Kenny Ortega,3.02,https://letterboxd.com//film/high-school-musical/
My Brother,2016,Mert Baykal,2.22,https://letterboxd.com//film/my-brother-2016/
The Single Moms Club,2014,Tyler Perry,2.44,https://letterboxd.com//film/the-single-moms-club/
The Burning Hell,1974,Ron Ormond,2.43,https://letterboxd.com//film/the-burning-hell/
The Kissing Booth 2,2020,Vince Marcello,1.68,https://letterboxd.com//film/the-kissing-booth-2/
Speed Racer,2008,"Lilly Wachowski, Lana Wachowski",3.15,https://letterboxd.com//film/speed-racer/
Sextette,1978,Ken Hughes,2.24,https://letterboxd.com//film/sextette/
She Puppet,2001,Peggy Ahwesh,3.08,https://letterboxd.com//film/she-puppet/
Sucker Punch,2011,Zack Snyder,2.58,https://letterboxd.com//film/sucker-punch/
Bunny the Killer Thing,2015,Joonas Makkonen,2.35,https://letterboxd.com//film/bunny-the-killer-thing/
Kiss,1963,Andy Warhol,3.1,https://letterboxd.com//film/kiss/
For Both of Us,2016,Umur Turagay,2.37,https://letterboxd.com//film/for-both-of-us/
Magic Beyond Words: The J.K. Rowling Story,2011,Paul A. Kaufman,2.86,https://letterboxd.com//film/magic-beyond-words-the-jk-rowling-story/
Cherry,2021,"Anthony Russo, Joe Russo",2.71,https://letterboxd.com//film/cherry-2021/
Sallie Gardner at a Gallop,1878,Eadweard Muybridge,3.52,https://letterboxd.com//film/sallie-gardner-at-a-gallop/
Coffee Shop,2014,Dave Alan Johnson,2.15,https://letterboxd.com//film/coffee-shop-2014/
Kung Pow: Enter the Fist,2002,Steve Oedekerk,3.07,https://letterboxd.com//film/kung-pow-enter-the-fist/
The Pig Walks,2002,David Lynch,2.41,https://letterboxd.com//film/the-pig-walks/
The Rats Are Coming! The Werewolves Are Here!,1972,Andy Milligan,2.47,https://letterboxd.com//film/the-rats-are-coming-the-werewolves-are-here/
Os Farofeiros,2018,Roberto Santucci,2.36,https://letterboxd.com//film/os-farofeiros/
Cinderela Pop,2019,Bruno Garotti,2.39,https://letterboxd.com//film/cinderela-pop/
High Strung Free Dance,2018,Michael Damian,2.73,https://letterboxd.com//film/high-strung-free-dance/
Grandma Got Run Over by a Reindeer,2000,Phil Roman,2.06,https://letterboxd.com//film/grandma-got-run-over-by-a-reindeer/
Cruel Jaws,1995,Bruno Mattei,2.43,https://letterboxd.com//film/cruel-jaws/
Till Luck Do Us: Part 3,2015,"Roberto Santucci, Marcelo Antunez",2.14,https://letterboxd.com//film/till-luck-do-us-part-3/
Parole Violators,1994,Patrick G. Donahue,3.25,https://letterboxd.com//film/parole-violators/
Barbie Presents: Thumbelina,2009,Conrad Helten,2.72,https://letterboxd.com//film/barbie-presents-thumbelina/
Dhoom 3,2013,Vijay Krishna Acharya,2.43,https://letterboxd.com//film/dhoom-3/
Snow White,2000,João César Monteiro,3.35,https://letterboxd.com//film/snow-white-2000/
Heaven Is for Real,2014,Randall Wallace,2.25,https://letterboxd.com//film/heaven-is-for-real/
A Hole in My Heart,2004,Lukas Moodysson,2.55,https://letterboxd.com//film/a-hole-in-my-heart/
Attack of the Killer Donuts,2016,Scott Wheeler,1.9,https://letterboxd.com//film/attack-of-the-killer-donuts/
Sharknado,2013,Anthony C. Ferrante,1.68,https://letterboxd.com//film/sharknado/
Pink Flamingos,1972,John Waters,3.51,https://letterboxd.com//film/pink-flamingos/
The Drawn Together Movie: The Movie!,2010,Greg Franklin,2.53,https://letterboxd.com//film/the-drawn-together-movie-the-movie/
We Are the Flesh,2016,Emiliano Rocha Minter,2.81,https://letterboxd.com//film/we-are-the-flesh/
Camp Rock,2008,Matthew Diamond,2.64,https://letterboxd.com//film/camp-rock/
Face 2 Face,2016,Matthew Toronto,2.87,https://letterboxd.com//film/face-2-face-2016/
A Christmas Kiss,2011,John Stimpson,2.46,https://letterboxd.com//film/a-christmas-kiss/
The Club of the Misunderstood,2014,Carlos Sedes,2.56,https://letterboxd.com//film/the-club-of-the-misunderstood/
Barbie and the Diamond Castle,2008,Gino Nichele,3.62,https://letterboxd.com//film/barbie-and-the-diamond-castle/
Lovesick,2014,Luke Matheny,2.84,https://letterboxd.com//film/lovesick-2014/
Barbie & Her Sisters in the Great Puppy Adventure,2015,Andrew Tan,2.81,https://letterboxd.com//film/barbie-her-sisters-in-the-great-puppy-adventure/
Madea's Family Reunion,2006,Tyler Perry,2.6,https://letterboxd.com//film/madeas-family-reunion/
Barbie & Her Sisters in A Pony Tale,2013,Kyran Kelly,2.69,https://letterboxd.com//film/barbie-her-sisters-in-a-pony-tale/
Gymkata,1985,Robert Clouse,2.51,https://letterboxd.com//film/gymkata/
Arcade Fire - The Reflektor Tapes,2015,Kahlil Joseph,3.12,https://letterboxd.com//film/arcade-fire-the-reflektor-tapes/
The Daughters of Fire,2018,Albertina Carri,2.57,https://letterboxd.com//film/the-daughters-of-fire/
Elves,1989,Jeffrey Mandel,2.3,https://letterboxd.com//film/elves/
Unconscious London Strata,1981,Stan Brakhage,3.29,https://letterboxd.com//film/unconscious-london-strata/
Flowers,2015,Phil Stevens,3.3,https://letterboxd.com//film/flowers-2015/
Ghost Shark,2013,Griff Furst,1.97,https://letterboxd.com//film/ghost-shark/
Snake Outta Compton,2018,Hank Braxtan,1.91,https://letterboxd.com//film/snake-outta-compton/
Seeds of Yesterday,2015,Shawn Ku,2.43,https://letterboxd.com//film/seeds-of-yesterday/
The Bikini Carwash Company,1992,Ed Hansen,2.57,https://letterboxd.com//film/the-bikini-carwash-company/
I'm Not Angry!,2014,Reza Dormishian,2.34,https://letterboxd.com//film/im-not-angry/
Turkish Ice Cream,2019,Can Ulkay,2.68,https://letterboxd.com//film/turkish-ice-cream/
With Open Arms,2017,Philippe de Chauveron,2.36,https://letterboxd.com//film/with-open-arms-2017/
I Am,2011,Tom Shadyac,3.14,https://letterboxd.com//film/i-am-2011-3/
Maidstone,1970,Norman Mailer,2.89,https://letterboxd.com//film/maidstone/
Smorgasbord,1983,Jerry Lewis,3.58,https://letterboxd.com//film/smorgasbord/
Skins,2017,Eduardo Casanova,2.94,https://letterboxd.com//film/skins-2017/
Rudolph the Red-Nosed Reindeer & the Island of Misfit Toys,2001,William R. Kowalchuk Jr.,2.51,https://letterboxd.com//film/rudolph-the-red-nosed-reindeer-the-island-of-misfit-toys/
No Manches Frida 2,2019,Nacho G. Velilla,1.75,https://letterboxd.com//film/no-manches-frida-2/
Poultrygeist: Night of the Chicken Dead,2006,Lloyd Kaufman,2.99,https://letterboxd.com//film/poultrygeist-night-of-the-chicken-dead/
Walking on Sunshine,2014,"Max Giwa, Dania Pasquini",2.36,https://letterboxd.com//film/walking-on-sunshine/
Zeitgeist: Addendum,2008,Peter Joseph,3.25,https://letterboxd.com//film/zeitgeist-addendum/
A Cube of Sugar,2011,Reza Mirkarimi,2.82,https://letterboxd.com//film/a-cube-of-sugar/
High School Musical: The Musical: The Holiday Special,2020,Tim Federle,2.78,https://letterboxd.com//film/high-school-musical-the-musical-the-holiday-special/
Criminally Insane 2,1987,Nick Millard,1.88,https://letterboxd.com//film/criminally-insane-2/
iCarly: iGo to Japan,2008,Steve Hoefer,2.84,https://letterboxd.com//film/icarly-igo-to-japan/
Bloodsucking Freaks,1976,Joel M. Reed,2.3,https://letterboxd.com//film/bloodsucking-freaks/
Guinea Pig 2: Flower of Flesh and Blood,1985,Hideshi Hino,2.63,https://letterboxd.com//film/guinea-pig-2-flower-of-flesh-and-blood/
Sky Sharks,2020,Marc Fehse,2.05,https://letterboxd.com//film/sky-sharks/
Rock 'n' Roll Nightmare,1987,John Fasano,2.49,https://letterboxd.com//film/rock-n-roll-nightmare/
Barbie Fairytopia: Mermaidia,2006,"Walter P. Martishius, William Lau",3.34,https://letterboxd.com//film/barbie-fairytopia-mermaidia/
Zeitgeist: Moving Forward,2011,Peter Joseph,3.32,https://letterboxd.com//film/zeitgeist-moving-forward/
Violent Shit,1989,Andreas Schnaas,2.07,https://letterboxd.com//film/violent-shit/
Dil Bole Hadippa!,2009,Anurag Singh,2.47,https://letterboxd.com//film/dil-bole-hadippa/
Branded,2012,"Jamie Bradshaw, Aleksandr Dulerayn",2.14,https://letterboxd.com//film/branded/
Monster High: Ghouls Rule,2012,"Mike Fetterly, Steve Sacks",3.24,https://letterboxd.com//film/monster-high-ghouls-rule/
Mochibei,2005,Keita Kurosaka,2.56,https://letterboxd.com//film/mochibei/
Caicedo (with Pole),1894,"William K.L. Dickson, William Heise",3.54,https://letterboxd.com//film/caicedo-with-pole/
Haggard,2003,Bam Margera,2.81,https://letterboxd.com//film/haggard/
Resident Evil: The Final Chapter,2016,Paul W. S. Anderson,2.35,https://letterboxd.com//film/resident-evil-the-final-chapter/
Scooby-Doo 2: Monsters Unleashed,2004,Raja Gosnell,2.77,https://letterboxd.com//film/scooby-doo-2-monsters-unleashed/
Little Italy,2018,Donald Petrie,2.1,https://letterboxd.com//film/little-italy-2018/
Barbie: Spy Squad,2016,Conrad Helten,2.58,https://letterboxd.com//film/barbie-spy-squad/
Skullduggery,1983,Ota Richter,2.33,https://letterboxd.com//film/skullduggery/
Housefull 4,2019,Farhad Samji,1.86,https://letterboxd.com//film/housefull-4/
Maskeli Beşler: İntikam Peşinde,2005,Murat Aslan,2.13,https://letterboxd.com//film/maskeli-besler-intikam-pesinde/
Dead Mouse with Ants,2002,David Lynch,2.02,https://letterboxd.com//film/dead-mouse-with-ants/
Care Bears Movie II: A New Generation,1986,Dale Schott,2.63,https://letterboxd.com//film/care-bears-movie-ii-a-new-generation/
Life in a Year,2020,Mitja Okorn,2.58,https://letterboxd.com//film/life-in-a-year/
The Sound and the Fury,2014,James Franco,2.56,https://letterboxd.com//film/the-sound-and-the-fury-2014/
The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,Kenny Ortega,2.09,https://letterboxd.com//film/the-rocky-horror-picture-show-lets-do-the-time-warp-again/
Best F(r)iends: Volume 1,2017,Justin MacGregor,2.62,https://letterboxd.com//film/best-friends-volume-1/
Hapax Legomena II: Poetic Justice,1972,Hollis Frampton,3.39,https://letterboxd.com//film/hapax-legomena-ii-poetic-justice/
Goodbye Uncle Tom,1971,"Gualtiero Jacopetti, Franco Prosperi",3.27,https://letterboxd.com//film/goodbye-uncle-tom/
Ay Lav Yu,2010,Sermiyan Midyat,2.14,https://letterboxd.com//film/ay-lav-yu/
Cats & Dogs 3: Paws Unite,2020,Sean McNamara,1.78,https://letterboxd.com//film/cats-dogs-3-paws-unite/
Liberated: The New Sexual Revolution,2017,Benjamin Nolot,2.66,https://letterboxd.com//film/liberated-the-new-sexual-revolution/
Garfield's Pet Force,2009,Mark A.Z. Dippé,1.76,https://letterboxd.com//film/garfields-pet-force/
Starcrash,1978,Luigi Cozzi,2.28,https://letterboxd.com//film/starcrash/
The Spirit of Christmas,2015,David Jackson,2.47,https://letterboxd.com//film/the-spirit-of-christmas-2015/
Last House on Dead End Street,1977,Roger Watkins,3.17,https://letterboxd.com//film/last-house-on-dead-end-street/
The Little Panda Fighter,2008,Michelle Gabriel,1.07,https://letterboxd.com//film/the-little-panda-fighter/
S.O.S.: Women to the Sea,2014,Cris D'amato,2.74,https://letterboxd.com//film/sos-women-to-the-sea/
A*P*E,1976,Paul Leder,2.04,https://letterboxd.com//film/ape/
6-Headed Shark Attack,2018,Mark Atkins,1.72,https://letterboxd.com//film/6-headed-shark-attack/
Love Live! Sunshine!! The School Idol Movie Over the Rainbow,2019,Kazuo Sakai,3.88,https://letterboxd.com//film/love-live-sunshine-the-school-idol-movie-over-the-rainbow/
Christmas Cupid,2010,Gil Junger,2.42,https://letterboxd.com//film/christmas-cupid/
Aquamarine,2006,Elizabeth Allen Rosenbaum,2.94,https://letterboxd.com//film/aquamarine/
Cafe Noir,2009,Jung Sung-il,3.55,https://letterboxd.com//film/cafe-noir/
Perfect,2018,Eddie Alcazar,2.44,https://letterboxd.com//film/perfect-2018/
Barbie in the Pink Shoes,2013,Owen Hurley,2.87,https://letterboxd.com//film/barbie-in-the-pink-shoes/
Barbie: Princess Charm School,2011,Ezekiel Norton,3.52,https://letterboxd.com//film/barbie-princess-charm-school/
A Christmas Story Live!,2017,Alex Rudzinski,2.18,https://letterboxd.com//film/a-christmas-story-live/
Midori,1992,Hiroshi Harada,3.16,https://letterboxd.com//film/midori-1992/
Pierre and Sonny Jim,2001,David Lynch,2.19,https://letterboxd.com//film/pierre-and-sonny-jim/
Thunderpants,2002,Peter Hewitt,1.85,https://letterboxd.com//film/thunderpants/
Mad Dog Time,1996,Larry Bishop,2.49,https://letterboxd.com//film/mad-dog-time/
Barbie as Rapunzel,2002,Owen Hurley,3.34,https://letterboxd.com//film/barbie-as-rapunzel/
Mariah Carey's Magical Christmas Special,2020,"Roman Coppola, Hamish Hamilton",3.13,https://letterboxd.com//film/mariah-careys-magical-christmas-special/
Didi Quer Ser Criança,2004,"Alexandre Boury, Reynaldo Boury",1.94,https://letterboxd.com//film/didi-quer-ser-crianca/
Holiday in the Sun,2001,Steve Purcell,2.54,https://letterboxd.com//film/holiday-in-the-sun/
Bad Ben,2016,Nigel Bach,2.74,https://letterboxd.com//film/bad-ben/
Barbie in A Mermaid Tale,2010,Adam Wood,3.22,https://letterboxd.com//film/barbie-in-a-mermaid-tale/
The Lion Guard: Return of the Roar,2015,Howy Parkins,2.61,https://letterboxd.com//film/the-lion-guard-return-of-the-roar/
Night of Something Strange,2016,Jonathan Straiton,2.42,https://letterboxd.com//film/night-of-something-strange/
Judy Moody and the Not Bummer Summer,2011,John Schultz,1.8,https://letterboxd.com//film/judy-moody-and-the-not-bummer-summer/
