Film_title,Release_year,Director,Average_rating,Letterboxd URL
Goat Story,2008,Jan Tománek,1.47,https://letterboxd.com//film/goat-story/
Longbox Breakup,2018,Houston Coley,2.41,https://letterboxd.com//film/longbox-breakup/
Jonas Brothers: The Concert Experience,2009,Bruce Hendricks,3.36,https://letterboxd.com//film/jonas-brothers-the-concert-experience/
Spice World,1997,Bob Spiers,2.58,https://letterboxd.com//film/spice-world/
House Shark,2017,Ron Bonk,1.98,https://letterboxd.com//film/house-shark/
America: Imagine the World Without Her,2014,"John Sullivan, Dinesh D'Souza",1.69,https://letterboxd.com//film/america-imagine-the-world-without-her/
Roller Blade,1986,Donald G. Jackson,2.55,https://letterboxd.com//film/roller-blade/
Where Hands Touch,2018,Amma Asante,2.34,https://letterboxd.com//film/where-hands-touch/
Downfalls High,2021,"Machine Gun Kelly, Mod Sun",2.48,https://letterboxd.com//film/downfalls-high/
Monkey Up,2016,Robert Vince,1.62,https://letterboxd.com//film/monkey-up/
Cuck,2019,Rob Lambert,1.98,https://letterboxd.com//film/cuck-2019/
Jud Süß,1940,Veit Harlan,2.25,https://letterboxd.com//film/jud-su/
Super Xuxa Contra o Baixo Astral,1988,"Anna Penido, David Sonnenschein",2.68,https://letterboxd.com//film/super-xuxa-contra-o-baixo-astral/
Xuxa e os Duendes 2: No Caminho das Fadas,2002,"Rogério Gomes, Paulo Sérgio de Almeida",2.47,https://letterboxd.com//film/xuxa-e-os-duendes-2-no-caminho-das-fadas/
Gabriel's Inferno,2020,Tosca Musk,2.31,https://letterboxd.com//film/gabriels-inferno/
A Talking Cat!?!,2013,David DeCoteau,1.44,https://letterboxd.com//film/a-talking-cat/
The Flicker,1966,Tony Conrad,3.53,https://letterboxd.com//film/the-flicker-1966/
Ax 'Em,1992,Michael Mfume,1.45,https://letterboxd.com//film/ax-em/
The Cat in the Hat,2003,Bo Welch,2.2,https://letterboxd.com//film/the-cat-in-the-hat-2003/
